dominant_topic,total_records,message_split,stages,category
Certificate Deposit Question,8,"3:1, 4:1, 6:3, 8:3","3:1|Resolution, 4:1|Resolved, 6:1|Escalation,2|Resolved, 8:1|Categorize,2|Update","3:1|External, 4:1|External, 6:3|External, 8:3|External"
Check Clearing Issue,13,"1:2, 3:2, 4:2, 6:4, 8:3","1:1|Close,1|Resolved, 3:1|Escalation,1|Resolved, 4:1|Resolution,1|Resolved, 6:2|Escalation,1|Resolved,1|Update, 8:1|Escalation,1|Resolution,1|Resolved","1:2|External, 3:2|External, 4:2|External, 6:4|External, 8:3|External"
Clearing House Problem,19,"1:3, 3:3, 4:6, 6:2, 8:5","1:1|Escalation,2|Resolved, 3:2|Resolved,1|Update, 4:1|Categorize,1|Close,1|Escalation,1|Resolved,2|Update, 6:1|Resolution,1|Resolved, 8:4|Escalation,1|Update","1:3|External, 3:3|External, 4:6|External, 6:2|External, 8:5|External"
Client Categorization Update,14,"1:2, 3:3, 4:4, 6:1, 8:4","1:2|Resolved, 3:1|Close,2|Resolved, 4:1|Close,1|Report,2|Resolution, 6:1|Resolved, 8:2|Resolved,2|Update","1:2|External, 3:3|External, 4:4|External, 6:1|External, 8:4|External"
Commercial Paper Issue,12,"1:2, 3:1, 4:2, 6:2, 8:5","1:1|Resolution,1|Resolved, 3:1|Update, 4:2|Update, 6:2|Resolved, 8:3|Close,1|Escalation,1|Resolved","1:2|External, 3:1|External, 4:2|External, 6:2|External, 8:5|External"
Complaint Resolution Request,11,"1:3, 3:1, 4:1, 6:3, 8:3","1:2|Authenticate,1|Update, 3:1|Escalation, 4:1|Update, 6:1|Escalation,1|Resolved,1|Update, 8:1|Categorize,1|Escalation,1|Resolved","1:3|External, 3:1|External, 4:1|External, 6:3|External, 8:3|External"
Compliance Certificate Request,10,"3:3, 4:2, 6:3, 8:2","3:1|Resolution,2|Resolved, 4:1|Categorize,1|Resolution, 6:1|Resolution,2|Update, 8:1|Receive,1|Update","3:3|External, 4:2|External, 6:3|External, 8:2|External"
Compliance Issues,11,"1:3, 3:1, 6:3, 8:4","1:3|Resolved, 3:1|Resolution, 6:1|Resolved,2|Update, 8:1|Authenticate,1|Receive,2|Update","1:3|Internal, 3:1|Internal, 6:3|Internal, 8:4|Internal"
Compliance Monitoring Alert,13,"3:1, 4:6, 6:2, 8:4","3:1|Resolution, 4:1|Escalation,3|Resolved,2|Update, 6:1|Escalation,1|Update, 8:2|Resolved,2|Update","3:1|External, 4:6|External, 6:2|External, 8:4|External"
Consent Management Dispute,12,"1:4, 3:2, 4:1, 6:4, 8:1","1:1|Close,1|Resolution,2|Resolved, 3:1|Report,1|Update, 4:1|Resolved, 6:1|Authenticate,1|Escalation,2|Update, 8:1|Resolution","1:4|External, 3:2|External, 4:1|External, 6:4|External, 8:1|External"
Consent Withdrawal Notification,20,"1:6, 3:2, 4:8, 6:1, 8:3","1:1|Authenticate,2|Resolution,1|Resolved,2|Update, 3:1|Categorize,1|Update, 4:1|Receive,2|Resolution,2|Resolved,3|Update, 6:1|Resolved, 8:1|Close,1|Escalation,1|Resolution","1:6|External, 3:2|External, 4:8|External, 6:1|External, 8:3|External"
Consulting Project Report,8,"1:2, 4:2, 6:2, 8:2","1:1|Resolution,1|Resolved, 4:2|Resolution, 6:1|Categorize,1|Resolved, 8:1|Close,1|Report","1:2|External, 4:2|External, 6:2|External, 8:2|External"
Core Banking System,10,"3:3, 4:3, 6:3, 8:1","3:1|Authenticate,1|Resolved,1|Update, 4:1|Categorize,2|Update, 6:1|Escalation,2|Update, 8:1|Resolved","3:3|External, 4:3|External, 6:3|External, 8:1|External"
Corporate Account Issue,11,"1:1, 3:4, 4:1, 6:3, 8:2","1:1|Resolved, 3:1|Receive,1|Resolution,1|Resolved,1|Update, 4:1|Resolved, 6:1|Escalation,2|Resolved, 8:2|Escalation","1:1|External, 3:4|External, 4:1|External, 6:3|External, 8:2|External"
Corporate Loan Inquiry,11,"1:2, 3:1, 4:5, 6:3","1:1|Resolution,1|Resolved, 3:1|Authenticate, 4:1|Resolution,2|Resolved,2|Update, 6:1|Categorize,1|Resolution,1|Update","1:2|External, 3:1|External, 4:5|External, 6:3|External"
Covenant Breach Alert,16,"1:4, 3:3, 4:2, 6:6, 8:1","1:1|Resolution,2|Resolved,1|Update, 3:1|Authenticate,1|Resolved,1|Update, 4:1|Resolved,1|Update, 6:1|Authenticate,1|Categorize,1|Resolution,2|Resolved,1|Update, 8:1|Resolution","1:4|External, 3:3|External, 4:2|External, 6:6|External, 8:1|External"
Covenant Compliance Question,20,"1:2, 3:2, 4:6, 6:4, 8:6","1:1|Resolution,1|Resolved, 3:1|Resolved,1|Update, 4:1|Categorize,1|Close,1|Escalation,2|Resolved,1|Update, 6:1|Authenticate,1|Categorize,1|Resolution,1|Update, 8:2|Escalation,1|Resolution,2|Resolved,1|Update","1:2|External, 3:2|External, 4:6|External, 6:4|External, 8:6|External"
Credit Facility Question,9,"3:3, 4:2, 6:4","3:2|Resolved,1|Update, 4:2|Resolved, 6:1|Escalation,1|Resolution,2|Resolved","3:3|External, 4:2|External, 6:4|External"
Credit Line Utilization,19,"1:3, 3:2, 4:6, 6:3, 8:5","1:1|Resolution,2|Resolved, 3:1|Resolved,1|Update, 4:1|Categorize,1|Report,1|Resolution,2|Resolved,1|Update, 6:1|Escalation,1|Resolved,1|Update, 8:1|Categorize,1|Escalation,1|Resolution,2|Update","1:3|External, 3:2|External, 4:6|External, 6:3|External, 8:5|External"
Cross-Border Regulatory Question,7,"1:1, 3:1, 4:1, 6:3, 8:1","1:1|Categorize, 3:1|Resolution, 4:1|Close, 6:1|Escalation,1|Resolved,1|Update, 8:1|Resolved","1:1|External, 3:1|External, 4:1|External, 6:3|External, 8:1|External"
Cross-Border Transfer Problem,17,"1:4, 3:4, 4:2, 6:5, 8:2","1:1|Close,1|Resolution,2|Resolved, 3:3|Resolution,1|Resolved, 4:2|Resolved, 6:1|Categorize,1|Close,2|Escalation,1|Resolution, 8:1|Categorize,1|Escalation","1:4|External, 3:4|External, 4:2|External, 6:5|External, 8:2|External"
Custody Service Problem,14,"1:3, 3:1, 4:4, 6:2, 8:4","1:1|Close,1|Report,1|Resolved, 3:1|Resolved, 4:1|Categorize,1|Close,1|Escalation,1|Update, 6:2|Escalation, 8:1|Close,2|Resolved,1|Update","1:3|External, 3:1|External, 4:4|External, 6:2|External, 8:4|External"
Customer Feedback Report,4,"1:1, 3:2, 6:1","1:1|Resolved, 3:1|Categorize,1|Resolved, 6:1|Escalation","1:1|External, 3:2|External, 6:1|External"
Customer Service Escalation,16,"1:1, 3:2, 4:4, 6:7, 8:2","1:1|Categorize, 3:1|Categorize,1|Resolution, 4:1|Resolution,1|Resolved,2|Update, 6:1|Categorize,2|Escalation,1|Resolved,3|Update, 8:1|Escalation,1|Update","1:1|External, 3:2|External, 4:4|External, 6:7|External, 8:2|External"
Cybersecurity Incident Report,9,"3:3, 4:1, 6:3, 8:2","3:1|Close,1|Escalation,1|Resolution, 4:1|Resolved, 6:2|Escalation,1|Resolved, 8:1|Resolution,1|Resolved","3:3|External, 4:1|External, 6:3|External, 8:2|External"
Data Breach Warning,15,"3:6, 4:1, 6:2, 8:6","3:1|Authenticate,1|Categorize,1|Escalation,2|Resolution,1|Resolved, 4:1|Resolution, 6:1|Resolution,1|Resolved, 8:4|Escalation,2|Update","3:6|External, 4:1|External, 6:2|External, 8:6|External"
Data Retention Question,13,"1:1, 3:5, 4:3, 6:2, 8:2","1:1|Resolved, 3:1|Authenticate,1|Resolution,2|Resolved,1|Update, 4:1|Escalation,1|Resolution,1|Resolved, 6:1|Resolution,1|Resolved, 8:2|Escalation","1:1|External, 3:5|External, 4:3|External, 6:2|External, 8:2|External"
Data Sharing Problem,10,"1:1, 3:1, 4:3, 6:4, 8:1","1:1|Categorize, 3:1|Resolution, 4:2|Escalation,1|Update, 6:1|Resolution,3|Resolved, 8:1|Resolved","1:1|External, 3:1|External, 4:3|External, 6:4|External, 8:1|External"
Deposit Service Issue,11,"1:1, 3:2, 4:1, 6:4, 8:3","1:1|Resolution, 3:1|Resolution,1|Update, 4:1|Update, 6:1|Close,1|Resolved,2|Update, 8:2|Categorize,1|Escalation","1:1|External, 3:2|External, 4:1|External, 6:4|External, 8:3|External"
Derivatives Question Alert,14,"1:2, 3:2, 4:5, 6:1, 8:4","1:2|Resolved, 3:2|Update, 4:3|Resolved,2|Update, 6:1|Update, 8:1|Categorize,1|Close,2|Update","1:2|External, 3:2|External, 4:5|External, 6:1|External, 8:4|External"
Digital Banking Error,12,"1:3, 3:1, 4:6, 6:2","1:3|Resolved, 3:1|Update, 4:2|Resolution,1|Resolved,3|Update, 6:1|Close,1|Resolved","1:3|External, 3:1|External, 4:6|External, 6:2|External"
Digital Platform Malfunction,16,"1:1, 3:4, 4:1, 6:5, 8:5","1:1|Resolution, 3:1|Categorize,3|Resolution, 4:1|Update, 6:3|Escalation,1|Resolved,1|Update, 8:1|Categorize,1|Escalation,1|Receive,2|Update","1:1|External, 3:4|External, 4:1|External, 6:5|External, 8:5|External"
Digital Wallet Issue,9,"3:3, 4:1, 8:5","3:1|Resolution,1|Resolved,1|Update, 4:1|Escalation, 8:4|Escalation,1|Update","3:3|External, 4:1|External, 8:5|External"
Direct Debit Returned,12,"1:1, 3:3, 4:4, 6:2, 8:2","1:1|Update, 3:1|Resolution,2|Resolved, 4:1|Resolution,2|Resolved,1|Update, 6:1|Categorize,1|Resolution, 8:1|Resolution,1|Resolved","1:1|External, 3:3|External, 4:4|External, 6:2|External, 8:2|External"
Documentary Collection Issue,9,"1:2, 3:1, 4:1, 6:4, 8:1","1:1|Resolution,1|Resolved, 3:1|Resolved, 4:1|Resolved, 6:1|Escalation,1|Resolution,1|Resolved,1|Update, 8:1|Escalation","1:2|External, 3:1|External, 4:1|External, 6:4|External, 8:1|External"
ECB Policy Update,20,"1:5, 3:4, 4:1, 6:4, 8:6","1:4|Resolved,1|Update, 3:1|Report,1|Resolved,2|Update, 4:1|Update, 6:1|Close,2|Resolution,1|Resolved, 8:1|Close,2|Escalation,1|Report,1|Resolved,1|Update","1:5|External, 3:4|External, 4:1|External, 6:4|External, 8:6|External"
EU Passporting Service,9,"3:2, 4:4, 6:1, 8:2","3:1|Resolved,1|Update, 4:1|Categorize,1|Resolved,2|Update, 6:1|Escalation, 8:1|Escalation,1|Update","3:2|External, 4:4|External, 6:1|External, 8:2|External"
EU Taxonomy Reporting,11,"1:1, 3:3, 4:3, 6:1, 8:3","1:1|Resolved, 3:1|Escalation,1|Resolution,1|Update, 4:2|Categorize,1|Resolution, 6:1|Escalation, 8:1|Escalation,1|Resolved,1|Update","1:1|External, 3:3|External, 4:3|External, 6:1|External, 8:3|External"
Enhanced Due Diligence,8,"1:2, 3:1, 4:1, 6:3, 8:1","1:1|Close,1|Resolved, 3:1|Resolution, 4:1|Resolved, 6:1|Categorize,2|Resolved, 8:1|Escalation","1:2|External, 3:1|External, 4:1|External, 6:3|External, 8:1|External"
Euro Clearing Problem,8,"1:2, 3:1, 4:3, 8:2","1:1|Authenticate,1|Categorize, 3:1|Resolution, 4:1|Resolution,1|Resolved,1|Update, 8:1|Resolution,1|Resolved","1:2|External, 3:1|External, 4:3|External, 8:2|External"
Executive Decision Required,17,"1:2, 3:3, 4:3, 6:5, 8:4","1:1|Categorize,1|Resolved, 3:1|Resolution,1|Resolved,1|Update, 4:1|Resolution,1|Resolved,1|Update, 6:3|Escalation,2|Resolution, 8:1|Escalation,1|Report,2|Update","1:2|Internal, 3:3|Internal, 4:3|Internal, 6:5|Internal, 8:4|Internal"
Executive Escalation Email,20,"1:2, 3:5, 4:7, 6:2, 8:4","1:1|Report,1|Resolved, 3:3|Resolution,2|Update, 4:1|Escalation,2|Resolution,2|Resolved,2|Update, 6:2|Resolved, 8:1|Escalation,1|Resolution,2|Resolved","1:2|External, 3:5|External, 4:7|External, 6:2|External, 8:4|External"
Export Credit Issue,14,"1:2, 3:3, 4:2, 6:2, 8:5","1:1|Resolution,1|Resolved, 3:3|Resolved, 4:1|Resolution,1|Resolved, 6:1|Resolved,1|Update, 8:1|Close,1|Resolution,2|Resolved,1|Update","1:2|External, 3:3|External, 4:2|External, 6:2|External, 8:5|External"
Export Documentation Error,14,"1:5, 3:3, 6:2, 8:4","1:1|Escalation,1|Report,2|Resolved,1|Update, 3:1|Report,2|Resolution, 6:1|Escalation,1|Update, 8:1|Authenticate,1|Close,2|Update","1:5|External, 3:3|External, 6:2|External, 8:4|External"
FATCA Compliance Issue,14,"1:2, 4:3, 6:4, 8:5","1:1|Categorize,1|Resolution, 4:1|Resolution,1|Resolved,1|Update, 6:1|Escalation,1|Resolved,2|Update, 8:3|Escalation,1|Resolution,1|Update","1:2|External, 4:3|External, 6:4|External, 8:5|External"
FX Execution Problem,8,"3:1, 4:2, 6:5","3:1|Resolved, 4:1|Resolution,1|Update, 6:1|Escalation,1|Receive,1|Resolved,2|Update","3:1|External, 4:2|External, 6:5|External"
Facility Renewal Inquiry,11,"1:2, 3:2, 4:1, 6:1, 8:5","1:1|Close,1|Resolution, 3:1|Resolution,1|Resolved, 4:1|Resolution, 6:1|Escalation, 8:1|Close,1|Escalation,2|Resolution,1|Update","1:2|External, 3:2|External, 4:1|External, 6:1|External, 8:5|External"
Fee Clarification Need,13,"1:2, 4:8, 6:1, 8:2","1:1|Resolution,1|Resolved, 4:1|Categorize,2|Resolution,4|Resolved,1|Update, 6:1|Update, 8:1|Close,1|Resolution","1:2|External, 4:8|External, 6:1|External, 8:2|External"
Fee Dispute Email,13,"1:1, 3:2, 4:4, 6:3, 8:3","1:1|Update, 3:2|Resolved, 4:2|Resolution,1|Resolved,1|Update, 6:1|Escalation,1|Resolution,1|Update, 8:1|Categorize,1|Escalation,1|Resolved","1:1|External, 3:2|External, 4:4|External, 6:3|External, 8:3|External"
Fintech Integration Error,15,"1:2, 3:2, 4:5, 6:3, 8:3","1:2|Resolved, 3:1|Resolution,1|Update, 4:2|Resolution,1|Resolved,2|Update, 6:3|Escalation, 8:1|Escalation,2|Resolved","1:2|External, 3:2|External, 4:5|External, 6:3|External, 8:3|External"
Foreign Exchange Problem,15,"1:4, 3:2, 4:4, 6:1, 8:4","1:1|Close,3|Resolved, 3:1|Resolved,1|Update, 4:1|Resolution,3|Update, 6:1|Update, 8:2|Escalation,1|Resolved,1|Update","1:4|External, 3:2|External, 4:4|External, 6:1|External, 8:4|External"
Fund Transfer Problem,15,"3:3, 4:3, 6:4, 8:5","3:1|Escalation,1|Resolved,1|Update, 4:1|Escalation,1|Resolved,1|Update, 6:1|Resolved,3|Update, 8:1|Close,1|Escalation,3|Update","3:3|External, 4:3|External, 6:4|External, 8:5|External"
GDPR Access Request,20,"1:4, 3:3, 4:5, 6:2, 8:6","1:1|Escalation,2|Resolved,1|Update, 3:1|Escalation,1|Resolution,1|Update, 4:2|Resolution,2|Resolved,1|Update, 6:2|Escalation, 8:1|Authenticate,1|Close,2|Escalation,1|Resolved,1|Update","1:4|External, 3:3|External, 4:5|External, 6:2|External, 8:6|External"
Guarantee Execution Problem,6,"1:2, 3:2, 4:1, 8:1","1:2|Resolved, 3:2|Resolved, 4:1|Resolution, 8:1|Categorize","1:2|External, 3:2|External, 4:1|External, 8:1|External"
IT Access Problem,26,"1:4, 3:7, 4:5, 6:5, 8:5","1:2|Resolved,2|Update, 3:1|Resolution,4|Resolved,2|Update, 4:1|Categorize,1|Resolution,1|Resolved,2|Update, 6:2|Escalation,1|Resolved,2|Update, 8:1|Close,2|Escalation,2|Resolution","1:4|Internal, 3:7|Internal, 4:5|Internal, 6:5|Internal, 8:5|Internal"
IT Marketing Unresolved,27,"1:3, 3:7, 4:1, 6:5, 8:11","1:3|Resolved, 3:1|Resolution,4|Resolved,2|Update, 4:1|Authenticate, 6:1|Categorize,1|Escalation,1|Resolution,2|Update, 8:6|Escalation,1|Resolution,4|Resolved","1:3|Internal, 3:7|Internal, 4:1|Internal, 6:5|Internal, 8:11|Internal"
Import Finance Question,13,"3:1, 4:4, 6:4, 8:4","3:1|Resolved, 4:2|Categorize,2|Update, 6:2|Resolution,1|Resolved,1|Update, 8:1|Categorize,1|Resolution,2|Update","3:1|External, 4:4|External, 6:4|External, 8:4|External"
Instant Payment Rejected,12,"1:2, 3:3, 4:2, 6:2, 8:3","1:1|Escalation,1|Resolved, 3:2|Resolution,1|Update, 4:1|Categorize,1|Resolved, 6:1|Close,1|Update, 8:1|Escalation,2|Update","1:2|External, 3:3|External, 4:2|External, 6:2|External, 8:3|External"
Integration Problem Report,12,"1:1, 3:1, 4:5, 6:2, 8:3","1:1|Resolved, 3:1|Categorize, 4:3|Escalation,1|Resolution,1|Resolved, 6:1|Escalation,1|Resolved, 8:1|Escalation,1|Resolution,1|Update","1:1|External, 3:1|External, 4:5|External, 6:2|External, 8:3|External"
Interest Rate Query,7,"1:1, 3:1, 4:3, 6:1, 8:1","1:1|Resolution, 3:1|Close, 4:1|Resolution,2|Resolved, 6:1|Update, 8:1|Resolved","1:1|External, 3:1|External, 4:3|External, 6:1|External, 8:1|External"
Internal Audit,11,"1:1, 3:5, 4:1, 6:1, 8:3","1:1|Resolved, 3:1|Escalation,2|Resolution,2|Resolved, 4:1|Escalation, 6:1|Escalation, 8:1|Close,2|Update","1:1|Internal, 3:5|Internal, 4:1|Internal, 6:1|Internal, 8:3|Internal"
International Transfer Question,15,"1:2, 3:1, 4:4, 6:4, 8:4","1:1|Resolved,1|Update, 3:1|Resolved, 4:1|Close,1|Escalation,1|Resolved,1|Update, 6:2|Resolved,2|Update, 8:1|Escalation,1|Resolved,2|Update","1:2|External, 3:1|External, 4:4|External, 6:4|External, 8:4|External"
Investment Advisory Question,10,"3:5, 4:1, 6:2, 8:2","3:1|Categorize,1|Escalation,1|Resolution,2|Update, 4:1|Update, 6:1|Escalation,1|Resolved, 8:2|Escalation","3:5|External, 4:1|External, 6:2|External, 8:2|External"
Investment Service Question,8,"1:2, 3:2, 8:4","1:1|Resolution,1|Resolved, 3:2|Resolved, 8:1|Escalation,1|Resolved,2|Update","1:2|External, 3:2|External, 8:4|External"
KYC Documentation Problem,18,"3:4, 4:5, 6:5, 8:4","3:1|Escalation,1|Resolution,2|Resolved, 4:1|Close,1|Resolution,1|Resolved,2|Update, 6:1|Resolution,3|Resolved,1|Update, 8:1|Categorize,2|Escalation,1|Resolved","3:4|External, 4:5|External, 6:5|External, 8:4|External"
Legal Advisor Update,9,"3:3, 4:2, 6:2, 8:2","3:2|Resolved,1|Update, 4:1|Report,1|Update, 6:1|Escalation,1|Resolution, 8:1|Categorize,1|Update","3:3|External, 4:2|External, 6:2|External, 8:2|External"
Legal Escalation,22,"1:1, 3:7, 4:8, 6:3, 8:3","1:1|Categorize, 3:2|Categorize,1|Resolution,2|Resolved,2|Update, 4:1|Categorize,1|Report,1|Resolution,4|Resolved,1|Update, 6:1|Escalation,1|Receive,1|Resolution, 8:1|Close,1|Escalation,1|Resolved","1:1|Internal, 3:7|Internal, 4:8|Internal, 6:3|Internal, 8:3|Internal"
Legal Notice Response,13,"1:2, 4:3, 6:4, 8:4","1:1|Resolved,1|Update, 4:1|Authenticate,2|Resolved, 6:2|Escalation,1|Resolved,1|Update, 8:2|Escalation,2|Resolved","1:2|External, 4:3|External, 6:4|External, 8:4|External"
Letter Credit Amendment,18,"3:4, 4:7, 6:2, 8:5","3:1|Categorize,3|Resolved, 4:1|Resolution,3|Resolved,3|Update, 6:1|Escalation,1|Resolution, 8:2|Resolved,3|Update","3:4|External, 4:7|External, 6:2|External, 8:5|External"
Letter Credit Processing,7,"1:1, 3:3, 4:1, 6:1, 8:1","1:1|Resolved, 3:1|Categorize,1|Resolution,1|Resolved, 4:1|Resolution, 6:1|Escalation, 8:1|Resolved","1:1|External, 3:3|External, 4:1|External, 6:1|External, 8:1|External"
Liquidity Facility Problem,11,"3:5, 4:4, 6:1, 8:1","3:1|Resolution,2|Resolved,2|Update, 4:2|Categorize,2|Resolution, 6:1|Update, 8:1|Escalation","3:5|External, 4:4|External, 6:1|External, 8:1|External"
Media Inquiry Email,7,"1:2, 3:1, 4:2, 6:1, 8:1","1:1|Resolved,1|Update, 3:1|Resolved, 4:2|Resolved, 6:1|Resolution, 8:1|Close","1:2|External, 3:1|External, 4:2|External, 6:1|External, 8:1|External"
Merchant Service Problem,13,"1:1, 3:3, 4:4, 6:2, 8:3","1:1|Resolution, 3:1|Resolution,2|Update, 4:1|Escalation,3|Update, 6:1|Escalation,1|Update, 8:2|Escalation,1|Update","1:1|External, 3:3|External, 4:4|External, 6:2|External, 8:3|External"
MiFID Investment Inquiry,19,"1:4, 3:4, 4:5, 6:3, 8:3","1:1|Escalation,1|Receive,2|Resolved, 3:1|Categorize,1|Resolution,1|Resolved,1|Update, 4:1|Close,2|Resolution,2|Update, 6:1|Resolution,2|Update, 8:1|Authenticate,1|Resolution,1|Update","1:4|External, 3:4|External, 4:5|External, 6:3|External, 8:3|External"
Mobile App Issue,12,"1:3, 3:4, 4:1, 6:2, 8:2","1:1|Resolution,2|Resolved, 3:1|Report,1|Resolution,1|Resolved,1|Update, 4:1|Escalation, 6:1|Escalation,1|Resolution, 8:1|Categorize,1|Escalation","1:3|External, 3:4|External, 4:1|External, 6:2|External, 8:2|External"
